THE NPOD0THE NT 0
C (20,20)
G (20,20)
FLP
power
P (20,11)
PD
Starting Solver!
Timestamp: 0.402038, rank 0, front
Timestamp: 0.403296, rank 0, back
Timestamp: 0.404167, rank 0, front
Timestamp: 0.405282, rank 0, back
Timestamp: 0.406113, rank 0, front
Timestamp: 0.407412, rank 0, back
Timestamp: 0.408296, rank 0, front
Timestamp: 0.409601, rank 0, back
Timestamp: 0.410509, rank 0, front
Timestamp: 0.412170, rank 0, back
Timestamp: 0.413157, rank 0, front
Timestamp: 0.414802, rank 0, back
Timestamp: 0.415757, rank 0, front
Timestamp: 0.417544, rank 0, back
Timestamp: 0.418925, rank 0, front
Timestamp: 0.420740, rank 0, back
Timestamp: 0.422102, rank 0, front
Timestamp: 0.423138, rank 0, back
Timestamp: 0.423691, rank 0, front
Timestamp: 0.424420, rank 0, back
Timestamp: 0.424946, rank 0, front
Timestamp: 0.425654, rank 0, back
Timestamp: 0.426176, rank 0, front
Timestamp: 0.426887, rank 0, back
Timestamp: 0.427446, rank 0, front
Timestamp: 0.428185, rank 0, back
Timestamp: 0.428718, rank 0, front
Timestamp: 0.429428, rank 0, back
Timestamp: 0.429959, rank 0, front
Timestamp: 0.430669, rank 0, back
Timestamp: 0.431195, rank 0, front
Timestamp: 0.431901, rank 0, back
Timestamp: 0.432486, rank 0, front
Timestamp: 0.433196, rank 0, back
Timestamp: 0.434117, rank 0, front
Timestamp: 0.435731, rank 0, back
Timestamp: 0.436868, rank 0, front
Timestamp: 0.438501, rank 0, back
Timestamp: 0.439577, rank 0, front
Timestamp: 0.441251, rank 0, back
Timestamp: 0.442281, rank 0, front
Timestamp: 0.443130, rank 0, back
Timestamp: 0.443694, rank 0, front
Timestamp: 0.444414, rank 0, back
Timestamp: 0.444947, rank 0, front
Timestamp: 0.445656, rank 0, back
Timestamp: 0.446180, rank 0, front
Timestamp: 0.446888, rank 0, back
Timestamp: 0.447405, rank 0, front
Timestamp: 0.448122, rank 0, back
Timestamp: 0.448676, rank 0, front
Timestamp: 0.449383, rank 0, back
Timestamp: 0.449904, rank 0, front
Timestamp: 0.451013, rank 0, back
Timestamp: 0.452147, rank 0, front
